emp_no,first_name,last_name,count
61761,Aamer,Feinberg,2
210129,Aamer,Frijda,2
466972,Aamer,Haldar,2
299725,Aamer,Holburn,2
205248,Aamer,Imataki,2
262801,Aamer,Krider,2
220170,Aamer,McFarlan,2
101778,Aamer,Peha,2
74202,Aamer,Schneeberger,2
272876,Aamer,Standera,2
282485,Aamer,Strandh,2
235609,Aamer,Talmor,2
70791,Aamod,Avouris,2
44610,Aamod,Cronan,2
260969,Aamod,Leuchs,2
247408,Aamod,Perez,2
494473,Aamod,Suri,3
452891,Abdelaziz,Bennet,2
41147,Abdelaziz,Chimia,2
449838,Abdelaziz,Cmelik,2
51639,Abdelaziz,Czap,2
32180,Abdelaziz,Hofman,2
452574,Abdelaziz,Kampfer,2
70311,Abdelaziz,Kugler,2
419504,Abdelaziz,Masamoto,2
25308,Abdelaziz,Mayerwieser,2
467620,Abdelaziz,Melichar,2
480096,Abdelaziz,Percebois,2
469365,Abdelaziz,Schiper,2
98079,Abdelaziz,Stiles,2
490204,Abdelaziz,Waymire,2
205568,Abdelghani,Aingworth,2
38267,Abdelghani,Armand,2
99804,Abdelghani,Benner,3
434084,Abdelghani,Cappello,2
453955,Abdelghani,Covnot,2
94574,Abdelghani,Dulli,2
28770,Abdelghani,Farris,2
274996,Abdelghani,Fioravanti,2
416899,Abdelghani,Heijenga,2
229415,Abdelghani,Ibel,2
54783,Abdelghani,Nannarelli,2
108053,Abdelghani,Nilsson,2
419543,Abdelghani,Nitsch,2
290946,Abdelghani,Reutenauer,2
488068,Abdelghani,Sabnani,2
283209,Abdelghani,Seiwald,2
429211,Abdelghani,Tchuente,2
79972,Abdelghani,Thummel,2
286921,Abdelghani,Turnbull,2
264390,Abdelghani,Waeselynck,2
41674,Abdelghani,Yemenis,2
231876,Abdelkader,Akazan,2
265903,Abdelkader,Angelov,2
31594,Abdelkader,Birta,2
418553,Abdelkader,Caine,2
452576,Abdelkader,Chvatal,2
211510,Abdelkader,Demir,2
453759,Abdelkader,Desikan,2
275126,Abdelkader,Dichev,2
406343,Abdelkader,Ecklund,2
272281,Abdelkader,Fairtlough,3
50234,Abdelkader,Felder,2
11295,Abdelkader,Lanzelotte,2
436372,Abdelkader,Leslie,2
69928,Abdelkader,Nourani,2
77689,Abdelkader,Swan,2
93433,Abdelkader,Tchuente,2
236192,Abdelkader,Whitcomb,2
20450,Abdelwaheb,Binkley,2
434700,Abdelwaheb,Botman,2
200108,Abdelwaheb,Chvatal,2
479432,Abdelwaheb,England,3
235326,Abdelwaheb,Gustavson,2
275710,Abdelwaheb,Hofmeyr,2
12222,Abdelwaheb,Holburn,2
442515,Abdelwaheb,Langford,2
451020,Abdelwaheb,Masada,2
450319,Abdelwaheb,Panienski,2
463010,Abdelwaheb,Prochazka,2
425011,Abdelwaheb,Prochazka,2
409123,Abdelwaheb,Schaft,2
202438,Abdulah,Antonisse,2
233030,Abdulah,Businaro,2
445928,Abdulah,Ermel,2
477778,Abdulah,Fadgyas,2
17260,Abdulah,Famili,2
498450,Abdulah,Gammage,2
96562,Abdulah,Ghemri,2
258473,Abdulah,Hellwagner,2
236125,Abdulah,Jumpertz,2
467242,Abdulah,Kalefeld,2
436525,Abdulah,Langford,2
273429,Abdulah,Lovengreen,2
255610,Abdulah,Paciorek,2
470681,Abdulah,Plump,3
420337,Abdulah,Ranum,2
408551,Abdulah,Schiper,2
36412,Abdulah,Senzako,2
457801,Abdulla,Antonakopoulos,2
200348,Abdulla,Back,2
263713,Abdulla,Bashian,2
78441,Abdulla,Beetstra,2
435350,Abdulla,Debuse,2
16438,Abdulla,Demeyer,2
276019,Abdulla,Erev,2
26283,Abdulla,Feldmann,2
203476,Abdulla,Flasterstein,2
14237,Abdulla,Gerlach,2
286032,Abdulla,Hempstead,2
292744,Abdulla,Ibel,2
263140,Abdulla,Iisaku,2
452869,Abdulla,Klassen,2
448846,Abdulla,Lipner,2
89882,Abdulla,Murrill,2
253928,Abdulla,Oberman,2
433131,Abdulla,Papastamatiou,2
106552,Abdulla,Schaap,2
297987,Abdulla,Taubenfeld,2
412324,Abdulla,Tokunaga,2
283568,Abdulla,Zallocco,2
217523,Abdulla,Zolotykh,2
462506,Achilleas,Bugaenko,2
245064,Achilleas,Dayana,2
276089,Achilleas,Goldhammer,2
476618,Achilleas,Kawashimo,2
293501,Achilleas,Litecky,2
256001,Achilleas,Luby,2
472984,Achilleas,Molberg,2
462237,Achilleas,Mundy,2
269776,Achilleas,Pelc,2
231706,Achilleas,Pettey,2
409914,Achilleas,Ramsay,2
237480,Achilleas,Ranai,2
66668,Achilleas,Reeken,2
474980,Achilleas,Rindone,2
